date,tb_polarity
2021-01-01,0.14498697916666667
2021-01-02,0.08036870255348522
2021-01-03,0.08813712522045854
2021-01-04,0.07594174291617474
2021-01-05,0.08383106700647025
2021-01-06,0.036038961038961044
2021-01-07,0.0977888257575757
2021-01-08,0.16425324675324673
2021-01-09,0.09128939393939396
2021-01-10,0.041453222703222714
2021-01-11,0.19735738062442607
2021-01-12,0.15809911141490085
2021-01-13,0.1425017135642136
2021-01-14,0.1289770114942529
2021-01-15,0.160974739959115
2021-01-16,0.1410903204982152
2021-01-17,0.02513979076479076
2021-01-18,0.03845373376623376
2021-01-19,0.08345959595959596
2021-01-20,0.21134118967452306
2021-01-21,0.026087962962962966
2021-01-22,0.13343425985532667
2021-01-23,0.20536202801827805
2021-01-24,0.0621372767857143
2021-01-25,0.0941102127039627
2021-01-26,0.1231009070294785
2021-01-27,0.08720285562390825
2021-01-28,0.07139860139860141
2021-01-29,0.08192308638331364
2021-01-30,0.09230011757789536
2021-01-31,-0.007322373393801961
2021-02-01,0.08500921201814059
2021-02-02,0.10095726169255581
2021-02-03,0.0584502886002886
2021-02-04,0.03367960858585859
2021-02-05,0.0999147942005085
2021-02-06,0.25590277777777776
2021-02-07,0.14157242063492065
2021-02-08,0.0865654178338002
2021-02-09,0.10089777988215488
2021-02-10,0.07014550264550265
2021-02-11,0.07747916666666668
2021-02-12,0.07691009424603175
2021-02-13,0.15326963241436928
2021-02-14,0.0054559063208616835
2021-02-15,0.1658289241622575
2021-02-16,0.1010849567099567
2021-02-17,0.10515873015873016
2021-02-18,0.23966269841269838
2021-02-19,0.18945601851851848
2021-02-20,0.02696969696969696
2021-02-21,0.24186507936507937
2021-02-22,0.09137272727272724
2021-02-23,0.13228485838779958
2021-02-24,0.01410774410774411
2021-02-25,0.027046548536933154
2021-02-26,0.09422484705687831
2021-02-27,0.09916138285024154
2021-02-28,0.02140740740740741
2021-03-01,0.19266262246525404
2021-03-02,0.06034497240268596
2021-03-03,0.09193301567259901
2021-03-04,0.12920925980585068
2021-03-05,0.07665343915343915
2021-03-06,0.1497590501062723
2021-03-07,0.14413628699342984
2021-03-08,0.033750901875901886
2021-03-09,0.12052162247474747
2021-03-10,0.07525633844712792
2021-03-11,0.11289830119375574
2021-03-12,0.005077831890331897
2021-03-13,0.056565656565656576
2021-03-14,0.08288793103448275
2021-03-15,0.10365885416666668
2021-03-16,0.16821441011096186
2021-03-17,0.07760204081632653
2021-03-18,0.06676742311507937
2021-03-19,0.08968056578516649
2021-03-20,-0.008262770562770558
2021-03-21,0.17565104166666667
2021-03-22,-0.05297619047619047
2021-03-23,0.025254834630499524
2021-03-24,0.10290854978354978
2021-03-25,0.09235629251700679
2021-03-26,0.07810980623480622
2021-03-27,0.03858695652173914
2021-03-28,0.0366687552213868
2021-03-29,0.07164199134199134
2021-03-30,0.09512330246913578
2021-03-31,0.06068146972976518
2021-04-01,0.009933215633973208
2021-04-02,0.131083263578869
2021-04-03,0.12200859036796537
2021-04-04,-0.023611111111111117
2021-04-05,0.15504860970193
2021-04-06,0.07252259700176367
2021-04-07,0.09911126571840857
2021-04-08,0.03157023809523809
2021-04-09,0.07025268440709619
2021-04-10,0.0585134078884079
2021-04-11,-0.045621345029239764
2021-04-12,0.059315843621399175
2021-04-13,-0.002281391723356012
2021-04-14,0.150324235385211
2021-04-15,0.003144558975351664
2021-04-16,0.06987179487179487
2021-04-17,-0.09635416666666666
2021-04-18,-0.0952020202020202
2021-04-19,0.10028535129466808
2021-04-20,0.15786485890652557
2021-04-21,0.11964285714285713
2021-04-22,0.03887939958592133
2021-04-23,0.12671614100185527
2021-04-24,-0.011787878787878769
2021-04-25,-0.034204545454545474
2021-04-26,0.07750627705627705
2021-04-27,0.07105542027417029
2021-04-28,0.07752712673611112
2021-04-29,0.062380952380952384
2021-04-30,0.08416517857142859
2021-05-01,0.1799332611832612
2021-05-02,0.05669191919191919
2021-05-03,0.05064118629908104
2021-05-04,0.04293209235209236
2021-05-05,0.09303429374857947
2021-05-06,-0.0143465909090909
2021-05-07,-0.005580357142857135
2021-05-08,-0.020312499999999997
2021-05-09,-0.15577651515151517
2021-05-10,0.08640692640692639
2021-05-11,0.15153273809523815
2021-05-12,-0.05922619047619047
2021-05-13,0.17850803957946815
2021-05-14,0.05634920634920636
2021-05-15,0.05034060846560847
2021-05-16,0.07949013949013947
2021-05-17,0.12961309523809522
2021-05-18,0.013278388278388285
2021-05-19,0.06498511904761906
2021-05-20,0.06571772411616161
2021-05-21,0.11069168871252205
2021-05-22,0.013684764309764312
2021-05-23,-0.01379278273809522
2021-05-24,0.08442708333333333
2021-05-25,0.10291005291005294
2021-05-26,-0.02630385487528344
2021-05-27,-0.07976190476190474
2021-05-28,0.010269841269841262
2021-05-29,0.2526331018518519
2021-05-30,-0.00793650793650793
2021-05-31,0.123125
2021-06-01,-0.07934920634920634
2021-06-02,0.12656250000000002
2021-06-03,0.06275510204081634
2021-06-04,0.055445075757575756
2021-06-05,-0.016852678571428574
2021-06-06,0.15416666666666667
2021-06-07,-0.0411758207070707
2021-06-08,0.01643682922979798
2021-06-09,0.01084680134680135
2021-06-10,0.16266999244142102
2021-06-11,0.11943253968253967
2021-06-12,0.09913512413512414
2021-06-13,0.06339719029374204
