date,tb_polarity
2020-12-31,-0.06233164983164983
2021-01-01,0.07578860028860027
2021-01-02,-0.03049450549450549
2021-01-03,0.008888888888888887
2021-01-04,0.19441332972582973
2021-01-05,0.00329167366535093
2021-01-06,0.1541799574694312
2021-01-07,0.08297348484848485
2021-01-08,0.07625691438191437
2021-01-09,0.11714458247066943
2021-01-10,0.16481060606060607
2021-01-11,0.1411514210427254
2021-01-12,0.15473212406806156
2021-01-13,0.09972303391053391
2021-01-14,0.17080281986531984
2021-01-15,0.12868363503780167
2021-01-16,0.12583921513269342
2021-01-17,0.12118790931290935
2021-01-18,0.07240476190476189
2021-01-19,0.15238197865353043
2021-01-20,0.0817006999559083
2021-01-21,0.0375793937103461
2021-01-22,0.050315798036386264
2021-01-23,0.08359236190868843
2021-01-24,0.03490003829814754
2021-01-25,0.13057533240568955
2021-01-26,0.07008763482280432
2021-01-27,0.06322810929491965
2021-01-28,0.0753401360544218
2021-01-29,0.15585035821877927
2021-01-30,0.06304383761080189
2021-01-31,0.16108318636096416
2021-02-01,0.1173671424062049
2021-02-02,0.09043088023088024
2021-02-03,0.09944978354978354
2021-02-04,0.16102827213938323
2021-02-05,0.12734884184102932
2021-02-06,-0.012889492753623177
2021-02-07,-0.04261381673881674
2021-02-08,0.06335153482880757
2021-02-09,0.10905894660894662
2021-02-10,0.015257082946815088
2021-02-11,0.09324179292929294
2021-02-12,0.02130339376579978
2021-02-13,0.14145165068342153
2021-02-14,-0.02773437499999998
2021-02-15,0.003528659611992942
2021-02-16,0.10466325671682813
2021-02-17,0.09188590934155451
2021-02-18,0.12782547313797313
2021-02-19,0.08980379188712521
2021-02-20,0.14553725946397078
2021-02-21,0.08509027777777779
2021-02-22,0.11313799762329174
2021-02-23,0.07203094937469938
2021-02-24,0.15617039964866053
2021-02-25,0.13154150197628459
2021-02-26,0.1174244929453263
2021-02-27,0.13397435897435897
2021-02-28,0.023870915790558646
2021-03-01,0.09309106691919192
2021-03-02,0.12123738508172471
2021-03-03,0.14978756957328387
2021-03-04,0.002028769841269839
2021-03-05,0.13306373842959207
2021-03-06,0.12497745037500582
2021-03-07,0.10567680776014109
2021-03-08,0.16442854136604135
2021-03-09,0.11634556878306879
2021-03-10,0.07933160441804057
2021-03-11,0.08049720245032745
2021-03-12,0.0747289097171173
2021-03-13,0.09887106431377266
2021-03-14,0.14844929954304953
2021-03-15,0.07606782106782103
2021-03-16,0.08566400171179582
2021-03-17,0.037959725459725466
2021-03-18,0.05395599363068626
2021-03-19,0.06022734487734487
2021-03-20,0.1644504475559163
2021-03-21,0.13381642512077296
2021-03-22,0.0540435606060606
2021-03-23,0.030400395322270322
2021-03-24,0.12305491255144031
2021-03-25,0.10490905483405484
2021-03-26,0.04852588383838385
2021-03-27,0.05116443631324581
2021-03-28,0.06492460317460319
2021-03-29,0.10369409749830674
2021-03-30,0.07861817930131881
2021-03-31,0.11984607984607988
2021-04-01,0.023449870324870323
2021-04-02,0.10151172168579395
2021-04-03,0.0986992308812112
2021-04-04,0.030590227282121824
2021-04-05,0.07524433524433526
2021-04-06,0.07896257508300192
2021-04-07,0.04439864802510152
2021-04-08,0.047530307225074675
2021-04-09,0.15903141612383948
2021-04-10,0.19018533549783545
2021-04-11,0.13618431855500823
2021-04-12,0.12164351851851851
2021-04-13,0.09028142987964417
2021-04-14,0.05516534391534393
2021-04-15,0.027097016967706614
2021-04-16,0.006088033698327821
2021-04-17,0.10497106749896927
2021-04-18,0.04569046055699701
2021-04-19,0.04187858825625593
2021-04-20,0.011779590257412842
2021-04-21,0.05791922683051716
2021-04-22,0.06116357022607022
2021-04-23,0.10114718614718615
2021-04-24,0.15935560966810966
2021-04-25,0.011755249958374969
2021-04-26,0.06110594344271799
2021-04-27,0.035076057202888256
2021-04-28,0.019278344671201816
2021-04-29,0.13611453201970444
2021-04-30,0.12992402777777778
2021-05-01,0.10207136844636845
2021-05-02,0.08123312114197531
2021-05-03,-0.001977403909222088
2021-05-04,0.023815536315536318
2021-05-05,0.029673949046158877
2021-05-06,0.09151580742489833
2021-05-07,0.08179687499999999
2021-05-08,-0.013344356261022946
2021-05-09,0.09828621031746032
2021-05-10,0.06778666769738198
2021-05-11,0.015500541125541117
2021-05-12,0.23536219336219338
2021-05-13,0.163162564180006
2021-05-14,0.010084485730319066
2021-05-15,0.04706313131313131
2021-05-16,0.09395591908091909
2021-05-17,-0.05670426065162907
2021-05-18,0.09923944413074849
2021-05-19,0.06207482993197279
2021-05-20,0.16086976204623263
2021-05-21,0.18399090492840492
2021-05-22,0.19
2021-05-23,0.11786155202821869
2021-05-24,0.01297348484848485
2021-05-25,0.13663690476190476
2021-05-26,0.08388020833333333
2021-05-27,0.018055555555555557
2021-05-28,0.06266286375661376
2021-05-29,0.13611111111111113
2021-05-30,0.03768939393939393
2021-05-31,0.23484848484848486
2021-06-01,0.08547619047619048
2021-06-02,0.16083174603174602
2021-06-03,0.13809081070444706
2021-06-04,0.2689909297052154
2021-06-05,0.10208333333333333
2021-06-06,0.15069444444444446
2021-06-07,0.1707702380952381
2021-06-08,0.10602380952380952
2021-06-09,0.1594298245614035
2021-06-10,0.19548036487322198
2021-06-11,0.18248218795093796
2021-06-12,0.11939560439560443
2021-06-13,0.11732630779916964
